,name,class_name
72,7C3TYtA4L0M__U__S104---2262.850-2276.920.wav,Korean
73,yztRc3XNfyM__U__S128---0856.370-0868.980.wav,Korean
74,OOJbZg7sWfo__U__S118---2504.380-2515.050.wav,Korean
75,UKUaiexJSlM__U__S227---1615.260-1629.990.wav,Korean
76,CMpQKkh2JK4__U__S100---0377.890-0390.340.wav,Korean
77,eoTVP8ED4IA__U__S13---0316.520-0332.650.wav,Korean
78,EJ3Rrhjy2b0__U__S15---0419.140-0437.040.wav,Korean
79,fa4-jbeWRZg__U__S109---1416.010-1427.440.wav,Korean
80,xHo9D8rAFlU__U__S152---1086.830-1104.480.wav,Korean
81,_wZvM885iVo__U__S127---1899.700-1910.250.wav,Korean
82,tqapF2XDScM__U__S147---0935.230-0949.920.wav,Korean
83,Z8F5r242zMA__U__S1---2014.150-2025.600.wav,Korean
84,1iVAQ5XWzhg__U__S6---0041.200-0054.500.wav,Korean
85,OOJbZg7sWfo__U__S0---2644.370-2661.600.wav,Korean
86,b3hFjI05Vgw__U__S1---0014.000-0025.220.wav,Korean
87,_wZvM885iVo__U__S10---1389.910-1401.600.wav,Korean
88,tO1xkcNbsB4__U__S100---0209.220-0224.060.wav,Korean
89,yzKc1fXaoF4__U__S379---2407.270-2426.060.wav,Korean
90,Z8F5r242zMA__U__S1---1412.870-1429.700.wav,Korean
91,jTL6gFwxt54__U__S50---0312.460-0329.360.wav,Korean
92,kzQRjKdNpTs__U__S0---0011.250-0029.640.wav,Korean
93,SgIvjAa0UX4__U__S0---1735.730-1746.030.wav,Korean
94,OOJbZg7sWfo__U__S0---1006.230-1016.620.wav,Korean
95,yQR9-BTaTlg__U__S0---0243.000-0255.750.wav,Korean
96,53Z_Y4jaZAg__U__S160---1602.030-1616.340.wav,Korean
97,zrnv97aVWNk__U__S116---0628.500-0646.220.wav,Korean
98,A-i3oRwlFds__U__S0---0155.200-0168.590.wav,Korean
99,k3I-q5i156o__U__S102---0653.170-0671.540.wav,Korean
100,gmwDWqVygQw__U__S1---0399.770-0415.050.wav,Korean
101,aIrAiclrkmg__U__S7---0040.500-0051.590.wav,Korean
102,p8JwXtIteF0__U__S44---0039.210-0051.180.wav,Korean
103,u6Rvin7vkAg__U__S14---0421.670-0437.530.wav,Korean
104,PdlCdZRSl2k__U__S24---0492.720-0508.450.wav,Korean
105,u6bVgCZobaY__U__S10---0169.110-0180.810.wav,Korean
106,L2yWphw9dxM__U__S173---0025.420-0040.700.wav,Korean
107,tO1xkcNbsB4__U__S103---0542.150-0556.320.wav,Korean
108,Z8F5r242zMA__U__S1---0723.030-0734.590.wav,Korean
109,2BTzkkimohM__U__S102---0909.650-0922.700.wav,Korean
110,wAiVqIR8OwA__U__S0---0664.110-0681.380.wav,Korean
111,3EZXRtZjiZM__U__S10---1548.380-1564.420.wav,Korean
112,67841yMvfXA__U__S0---0120.520-0136.880.wav,Korean
113,xHo9D8rAFlU__U__S120---0739.280-0756.360.wav,Korean
114,tqapF2XDScM__U__S147---1018.510-1031.040.wav,Korean
115,z6B2GrcqUvM__U__S0---0014.650-0033.210.wav,Korean
116,z6B2GrcqUvM__U__S0---0227.570-0243.170.wav,Korean
117,goCSeov6Ng4__U__S37---2315.030-2331.870.wav,Korean
118,KBAjiSewW8o__U__S468---2999.240-3016.410.wav,Korean
119,9qs5Rq5LK3I__U__S107---1777.430-1789.730.wav,Korean
120,G4g67NYmuVg__U__S106---0874.330-0885.420.wav,Korean
121,NUXUwOyrIHM__U__S0---0341.580-0360.990.wav,Korean
122,Nyi7CWUb3Rc__U__S0---0015.240-0026.110.wav,Korean
123,n2yGfVAQvnE__U__S40---0341.140-0357.260.wav,Korean
124,y-sAS8gczA8__U__S146---1055.280-1065.410.wav,Korean
125,b3hFjI05Vgw__U__S1---0231.240-0246.420.wav,Korean
126,2BTzkkimohM__U__S13---0149.800-0167.920.wav,Korean
127,qJe2mrZqbzg__U__S100---0463.940-0474.340.wav,Korean
128,A-i3oRwlFds__U__S126---1243.930-1262.540.wav,Korean
129,Y_Iq_ni0me8__U__S116---0449.070-0467.830.wav,Korean
130,QEghAho1MQ4__U__S46---0323.880-0336.700.wav,Korean
131,6P4BqmLNTm8__U__S347---2470.590-2483.390.wav,Korean
132,4sveRRhlszY__U__S0---0257.640-0275.170.wav,Korean
133,NtCD0MMYV4w__U__S18---0159.470-0170.270.wav,Korean
134,zoq4olSCmMs__U__S112---1101.170-1117.800.wav,Korean
135,fa4-jbeWRZg__U__S117---2061.470-2073.440.wav,Korean
136,UKUaiexJSlM__U__S388---2435.740-2448.360.wav,Korean
137,MMaELuPFPx8__U__S0---0389.380-0404.070.wav,Korean
138,p8JwXtIteF0__U__S0---0132.670-0151.700.wav,Korean
139,A5odazUB6k4__U__S117---1789.530-1803.950.wav,Korean
140,Z8F5r242zMA__U__S1---2405.540-2422.930.wav,Korean
141,VbYhBAC6Sn4__U__S100---0459.820-0472.540.wav,Korean
142,A-i3oRwlFds__U__S0---0311.590-0324.350.wav,Korean
143,etBn2eXy2AQ__U__S1---0008.920-0028.450.wav,Korean
144,Y_Iq_ni0me8__U__S115---0509.330-0519.890.wav,Korean
145,k3I-q5i156o__U__S108---0699.010-0711.980.wav,Korean
146,f4zXxukiDtQ__U__S107---1914.820-1931.950.wav,Korean
147,WuMUNqkQ4mM__U__S102---0845.070-0861.600.wav,Korean
148,Ri2PXb0UDO4__U__S0---0125.390-0144.140.wav,Korean
149,pD4c8cxjdEg__U__S104---0499.230-0516.200.wav,Korean
150,8o089BDQsNs__U__S0---0788.100-0800.040.wav,Korean
151,oU0Db2DIyoM__U__S2---0016.320-0035.910.wav,Korean
152,89KEgxdmEc4__U__S1---0072.240-0083.340.wav,Korean
153,W-4x1lDqVzI__U__S0---0399.050-0413.930.wav,Korean
154,YED5a04cqbU__U__S11---0056.580-0072.970.wav,Korean
155,UKUaiexJSlM__U__S217---1868.560-1882.580.wav,Korean
156,tYPTc3H3Ls0__U__S1---0300.940-0320.430.wav,Korean
157,RtWi79h0XMc__U__S16---0285.580-0304.370.wav,Korean
158,q2gTFDqeAD8__U__S21---0391.330-0403.220.wav,Korean
159,BnpJSpF2NGc__U__S2---0016.280-0026.520.wav,Korean
160,fa4-jbeWRZg__U__S248---1743.120-1756.930.wav,Korean
161,L2yWphw9dxM__U__S102---0572.550-0586.780.wav,Korean
162,eBW4tHU_Ido__U__S0---0103.880-0116.400.wav,Korean
163,Y_Iq_ni0me8__U__S107---0776.460-0788.900.wav,Korean
164,tqapF2XDScM__U__S147---0388.910-0406.600.wav,Korean
165,Z8F5r242zMA__U__S1---2350.340-2360.500.wav,Korean
166,LZ7A-KU8W9I__U__S0---0489.050-0501.020.wav,Korean
167,QG3-yynJLXY__U__S0---1594.390-1609.010.wav,Korean
168,dtz9TsJPCIg__U__S13---0091.630-0103.330.wav,Korean
169,2BTzkkimohM__U__S298---2583.800-2597.110.wav,Korean
170,QiEKbVBJTn8__U__S100---0868.990-0885.600.wav,Korean
171,svr7JnlL4Os__U__S307---1869.860-1881.330.wav,Korean
172,xGJzW14W1sU__U__S13---0499.770-0517.020.wav,Korean
173,WdCxkQMikeg__U__S110---0229.680-0244.690.wav,Korean
174,oCGEtzkL_k0__U__S107---0650.920-0668.170.wav,Korean
175,OUwsrbi4hlY__U__S12---0181.390-0200.490.wav,Korean
176,CUhhDNsNh64__U__S101---1951.730-1966.780.wav,Korean
177,Bc9ZxXFK9eY__U__S10---0001.240-0012.300.wav,Korean
178,4HelAC7yF1g__U__S0---0245.590-0258.860.wav,Korean
179,t0RPeDRk_iY__U__S1---0631.160-0644.720.wav,Korean
180,q-1-A3azcHM__U__S10---0101.640-0112.770.wav,Korean
181,1AnVTT9Rfrc__U__S0---0000.000-0013.120.wav,Korean
182,ZRmxBypAncw__U__S217---2107.880-2121.030.wav,Korean
183,9qs5Rq5LK3I__U__S112---2516.290-2527.600.wav,Korean
184,4kTejMaQKrg__U__S103---0512.790-0531.570.wav,Korean
185,XBVtzUlFIkw__U__S104---0329.680-0339.900.wav,Korean
186,mMCNqc1BmSE__U__S0---0076.700-0087.140.wav,Korean
187,W-4x1lDqVzI__U__S0---0550.590-0568.580.wav,Korean
188,OG6BrTuZMU4__U__S0---1014.070-1030.070.wav,Korean
189,bxfNa2ATT34__U__S1---0498.800-0509.300.wav,Korean
190,WuMUNqkQ4mM__U__S102---0971.810-0989.230.wav,Korean
191,49APcPk52DQ__U__S114---0519.750-0535.420.wav,Korean
192,yzKc1fXaoF4__U__S115---2182.780-2198.750.wav,Korean
193,4kTejMaQKrg__U__S109---1665.550-1680.320.wav,Korean
194,WuMUNqkQ4mM__U__S102---1198.480-1209.440.wav,Korean
195,ekJ4xBr3V8U__U__S166---2488.450-2506.550.wav,Korean
196,nnYY0HMQWC4__U__S108---0682.920-0699.780.wav,Korean
197,hK6W6Rf7C4Q__U__S28---0363.480-0382.010.wav,Korean
198,t_AirZ6V4qk__U__S10---0181.690-0192.230.wav,Korean
199,ZdeAT4b8UTQ__U__S104---0864.720-0876.520.wav,Korean
200,xGJzW14W1sU__U__S13---0295.320-0308.500.wav,Korean
201,8DBxHu0A9Hc__U__S108---0686.620-0697.620.wav,Korean
202,zJAnGjBatb8__U__S78---0577.550-0596.080.wav,Korean
203,zoq4olSCmMs__U__S0---0060.420-0074.060.wav,Korean
204,BE7pbh05Kns__U__S1---0295.240-0309.310.wav,Korean
205,4kTejMaQKrg__U__S152---0404.440-0421.780.wav,Korean
206,T_cxH1NM56c__U__S23---0029.890-0044.340.wav,Korean
207,jLnvnCgp1Fc__U__S100---0798.440-0812.850.wav,Korean
208,goCSeov6Ng4__U__S37---2841.000-2852.550.wav,Korean
209,fa4-jbeWRZg__U__S0---2204.330-2224.160.wav,Korean
210,T_cxH1NM56c__U__S12---0091.020-0102.820.wav,Korean
211,goCSeov6Ng4__U__S247---2519.830-2532.620.wav,Korean
212,wAiVqIR8OwA__U__S0---0757.980-0771.920.wav,Korean
213,8o089BDQsNs__U__S139---1122.600-1135.020.wav,Korean
214,yQR9-BTaTlg__U__S4---0326.390-0344.930.wav,Korean
215,W9ztn38CFSk__U__S170---1078.960-1097.150.wav,Korean
216,iPJRjoZkL10__U__S0---0161.400-0177.450.wav,Korean
217,kfGoyY2bOrE__U__S11---0295.190-0307.690.wav,Korean
218,Bv9C994aJW8__U__S0---0652.870-0669.780.wav,Korean
219,DKYtimMpnJI__U__S292---1940.830-1958.410.wav,Korean
220,83fEDoonNvI__U__S14---0067.070-0079.440.wav,Korean
221,k3I-q5i156o__U__S179---1246.500-1261.540.wav,Korean
222,fqv7wkunopk__U__S100---2793.330-2804.250.wav,Korean
223,3EZXRtZjiZM__U__S100---0660.390-0674.730.wav,Korean
224,qJe2mrZqbzg__U__S100---0733.680-0744.830.wav,Korean
225,n2yGfVAQvnE__U__S27---0152.430-0165.190.wav,Korean
226,QXHaSiXWjBU__U__S39---0311.350-0326.600.wav,Korean
227,Ji-k65eXOmo__U__S106---0696.130-0715.810.wav,Korean
228,u4vKg881_Qg__U__S314---2160.070-2178.840.wav,Korean
229,oCGEtzkL_k0__U__S107---0183.460-0193.820.wav,Korean
230,QiEKbVBJTn8__U__S100---1301.010-1318.630.wav,Korean
231,CU88GjdxJ-k__U__S21---0198.060-0208.130.wav,Korean
232,HY0qU-4naX0__U__S4---0719.620-0730.980.wav,Korean
233,z6kxePE-QSc__U__S10---1705.270-1719.430.wav,Korean
234,FbHowuEuYk8__U__S105---2337.320-2349.940.wav,Korean
235,4sveRRhlszY__U__S0---0179.590-0199.550.wav,Korean
236,UgcaDYk7I5M__U__S1---0235.640-0253.690.wav,Korean
237,49APcPk52DQ__U__S16---0154.150-0164.700.wav,Korean
238,v-qJfFe1U2w__U__S104---0749.260-0759.640.wav,Korean
239,JVFQ83kmcvo__U__S2---0036.840-0048.200.wav,Korean
240,n2yGfVAQvnE__U__S1---0005.670-0017.990.wav,Korean
241,FZTueGhtS28__U__S2---0022.990-0038.000.wav,Korean
242,Ms2ahF6MZ_k__U__S101---0392.890-0410.140.wav,Korean
243,_-lnNzuNwiw__U__S14---0139.650-0150.640.wav,Korean
244,zoq4olSCmMs__U__S112---0553.450-0564.460.wav,Korean
245,Ud0m6c_K0k8__U__S0---0000.000-0012.280.wav,Korean
246,wokyJG9Zpi0__U__S13---0028.640-0039.120.wav,Korean
247,OUwsrbi4hlY__U__S35---0822.370-0835.870.wav,Korean
248,0L-R5Dc7w1A__U__S141---0909.430-0921.480.wav,Korean
249,FbHowuEuYk8__U__S105---1965.230-1978.800.wav,Korean
250,p8JwXtIteF0__U__S44---1563.710-1578.510.wav,Korean
251,pD4c8cxjdEg__U__S104---1470.350-1488.980.wav,Korean
252,zrnv97aVWNk__U__S116---0611.790-0624.160.wav,Korean
253,BhkvdTRzg3M__U__S112---0736.980-0748.910.wav,Korean
254,9auuvLBHCuo__U__S22---0300.380-0316.970.wav,Korean
255,goCSeov6Ng4__U__S37---1364.360-1380.550.wav,Korean
256,FZTueGhtS28__U__S0---0000.000-0010.390.wav,Korean
257,E0Xv4hsXxbI__U__S2---0006.430-0025.330.wav,Korean
258,xHo9D8rAFlU__U__S101---2236.130-2250.220.wav,Korean
259,enpXwljgrWo__U__S1---0223.720-0239.990.wav,Korean
260,vq_Uu5HjUKU__U__S156---0418.580-0432.370.wav,Korean
261,xHo9D8rAFlU__U__S100---0384.650-0396.680.wav,Korean
262,UgcaDYk7I5M__U__S11---0214.390-0228.120.wav,Korean
263,Bv9C994aJW8__U__S0---0550.240-0561.390.wav,Korean
264,d0Q09Ir6c9Y__U__S1---0938.990-0956.390.wav,Korean
265,RF3DDF0V7AM__U__S0---0000.000-0010.140.wav,Korean
266,Z8F5r242zMA__U__S1---1343.770-1359.440.wav,Korean
267,xHo9D8rAFlU__U__S101---1134.090-1149.200.wav,Korean
268,Z8F5r242zMA__U__S1---0548.570-0559.830.wav,Korean
269,tqapF2XDScM__U__S150---3042.400-3056.900.wav,Korean
270,53Z_Y4jaZAg__U__S141---0923.860-0941.780.wav,Korean
271,7d1y5D3FjVc__U__S10---0039.680-0054.190.wav,Korean
272,yQR9-BTaTlg__U__S43---0391.000-0406.040.wav,Korean
273,eBW4tHU_Ido__U__S0---0349.330-0361.370.wav,Korean
274,z6kxePE-QSc__U__S10---0425.570-0440.160.wav,Korean
275,2kd_LiFA8NU__U__S102---0183.320-0195.130.wav,Korean
276,UcSzyVCqegY__U__S0---0000.000-0012.020.wav,Korean
277,KjId3PIgdZM__U__S111---0689.150-0701.160.wav,Korean
278,ZmO0MVHcBMs__U__S1---0129.540-0146.150.wav,Korean
279,kf_wAxGX4eI__U__S15---0177.580-0194.320.wav,Korean
280,53Z_Y4jaZAg__U__S141---1465.210-1482.480.wav,Korean
281,XIj6ka5wj2Y__U__S29---0211.310-0228.370.wav,Korean
282,gXIGTmsrChw__U__S10---0481.190-0500.770.wav,Korean
283,jIvHmJDZNZg__U__S1---0333.230-0347.470.wav,Korean
284,oyjiAt5_BwY__U__S10---1156.490-1174.610.wav,Korean
285,kfGoyY2bOrE__U__S232---1565.510-1584.100.wav,Korean
286,E0Xv4hsXxbI__U__S0---0051.910-0062.310.wav,Korean
287,j20ZnJSkaQQ__U__S22---0119.150-0131.610.wav,Korean
288,_wZvM885iVo__U__S127---2271.650-2287.110.wav,Korean
289,2fe-Fo3mf8M__U__S110---1494.250-1507.210.wav,Korean
290,wokyJG9Zpi0__U__S161---0996.810-1010.560.wav,Korean
291,nJslyNCJAiU__U__S0---0134.600-0148.400.wav,Korean
292,BmRApAWwxVM__U__S2---0223.400-0243.270.wav,Korean
293,4sveRRhlszY__U__S0---0937.520-0948.150.wav,Korean
294,yzKc1fXaoF4__U__S176---1715.820-1733.800.wav,Korean
295,g8njZsfmUfE__U__S0---0007.320-0021.910.wav,Korean
296,7C3TYtA4L0M__U__S22---2719.590-2738.580.wav,Korean
297,vMMQ21GLXDY__U__S114---0374.640-0393.820.wav,Korean
298,2kd_LiFA8NU__U__S102---1949.590-1969.450.wav,Korean
299,fa4-jbeWRZg__U__S248---1456.630-1469.950.wav,Korean
300,F_19gr9mCsY__U__S15---0093.890-0104.490.wav,Korean
301,2kd_LiFA8NU__U__S103---0460.800-0473.950.wav,Korean
302,DKYtimMpnJI__U__S127---1249.270-1260.870.wav,Korean
303,v-qJfFe1U2w__U__S381---2529.950-2544.440.wav,Korean
304,FbHowuEuYk8__U__S100---0450.510-0464.180.wav,Korean
305,bhS832PdREE__U__S12---0109.130-0124.580.wav,Korean
306,lkjhkyyxrYs__U__S22---0063.460-0082.120.wav,Korean
307,scZbK0YJeLw__U__S42---0263.630-0279.660.wav,Korean
308,QiEKbVBJTn8__U__S201---1366.510-1385.470.wav,Korean
309,goCSeov6Ng4__U__S37---0986.020-0998.180.wav,Korean
310,0L-R5Dc7w1A__U__S141---1233.460-1251.350.wav,Korean
311,BXo0pC1Rr-I__U__S12---0385.040-0404.500.wav,Korean
312,2HmCrhAwP5M__U__S102---1004.720-1022.330.wav,Korean
313,oyjiAt5_BwY__U__S11---0251.000-0270.430.wav,Korean
314,Ji-k65eXOmo__U__S384---2513.690-2527.860.wav,Korean
315,XIj6ka5wj2Y__U__S29---0536.380-0549.850.wav,Korean
316,LZ7A-KU8W9I__U__S0---0288.050-0302.490.wav,Korean
317,aIrAiclrkmg__U__S10---0084.490-0104.450.wav,Korean
318,UKUaiexJSlM__U__S227---2310.560-2324.380.wav,Korean
319,vq_Uu5HjUKU__U__S107---0394.220-0406.470.wav,Korean
320,4kTejMaQKrg__U__S203---2077.780-2088.680.wav,Korean
321,KBAjiSewW8o__U__S149---1858.140-1870.270.wav,Korean
322,W9ztn38CFSk__U__S170---1666.070-1676.140.wav,Korean
323,1QIP5IVDHJw__U__S0---0000.000-0015.490.wav,Korean
324,9y1t5Pi8oNk__U__S17---0234.540-0251.860.wav,Korean
325,OG6BrTuZMU4__U__S0---0842.480-0853.830.wav,Korean
326,CMpQKkh2JK4__U__S10---0151.460-0167.060.wav,Korean
327,qJAVJtu0l9o__U__S1---0338.690-0357.230.wav,Korean
328,x8GAjbNvej4__U__S107---1346.700-1358.290.wav,Korean
329,9qs5Rq5LK3I__U__S1---0984.760-0994.990.wav,Korean
330,QnuML44spaw__U__S102---1298.120-1313.910.wav,Korean
331,2HmCrhAwP5M__U__S229---1475.100-1487.420.wav,Korean
332,4kTejMaQKrg__U__S109---0738.110-0757.690.wav,Korean
333,Q9gsdNbQqJk__U__S127---0542.490-0554.450.wav,Korean
334,uLTsn5LQHN4__U__S10---0058.440-0070.140.wav,Korean
335,oyjiAt5_BwY__U__S10---0549.300-0567.720.wav,Korean
336,vMMQ21GLXDY__U__S101---1275.540-1289.720.wav,Korean
337,8Ioo--nmIAI__U__S0---0823.430-0841.060.wav,Korean
338,2fe-Fo3mf8M__U__S109---0528.620-0539.390.wav,Korean
339,UKUaiexJSlM__U__S118---1385.800-1405.230.wav,Korean
340,3EZXRtZjiZM__U__S100---1956.760-1966.820.wav,Korean
341,qJAVJtu0l9o__U__S1---0357.230-0367.370.wav,Korean
342,DKYtimMpnJI__U__S305---2725.590-2739.650.wav,Korean
343,0L-R5Dc7w1A__U__S141---1951.630-1963.000.wav,Korean
344,5-Frn-BPArM__U__S10---0143.780-0153.990.wav,Korean
345,ZdeAT4b8UTQ__U__S104---0361.080-0378.890.wav,Korean
346,W9ztn38CFSk__U__S101---2287.260-2300.790.wav,Korean
347,yztRc3XNfyM__U__S103---0240.580-0251.120.wav,Korean
348,QG3-yynJLXY__U__S242---2163.310-2181.360.wav,Korean
349,yBPnnN0oXMQ__U__S11---0092.740-0104.220.wav,Korean
350,kfGoyY2bOrE__U__S124---0488.230-0500.450.wav,Korean
351,T9dfFfeFJlA__U__S0---0017.440-0036.770.wav,Korean
352,x8GAjbNvej4__U__S111---1037.970-1049.580.wav,Korean
353,BmRApAWwxVM__U__S2---0158.780-0172.440.wav,Korean
354,2HmCrhAwP5M__U__S29---0905.150-0916.640.wav,Korean
355,cMExjQ93g7s__U__S0---0263.520-0278.060.wav,Korean
356,etBn2eXy2AQ__U__S74---0531.390-0547.890.wav,Korean
357,yztRc3XNfyM__U__S242---1664.640-1677.330.wav,Korean
358,enpXwljgrWo__U__S1---0483.590-0501.340.wav,Korean
359,hcl64bB2T3Y__U__S1---0012.200-0029.060.wav,Korean
360,SgIvjAa0UX4__U__S0---0382.000-0395.940.wav,Korean
361,qKGebGKEr0E__U__S1---0064.920-0077.980.wav,Korean
362,9auuvLBHCuo__U__S14---0052.350-0071.930.wav,Korean
363,OUwsrbi4hlY__U__S12---0110.310-0130.190.wav,Korean
364,ekJ4xBr3V8U__U__S167---1394.900-1407.830.wav,Korean
365,fa4-jbeWRZg__U__S248---0379.680-0396.190.wav,Korean
366,UKUaiexJSlM__U__S23---0275.410-0294.890.wav,Korean
367,XBVtzUlFIkw__U__S101---1688.190-1701.390.wav,Korean
368,Q9gsdNbQqJk__U__S0---0032.830-0044.780.wav,Korean
369,O_mt9NUnHXI__U__S120---2804.440-2820.640.wav,Korean
370,PdlCdZRSl2k__U__S11---0372.410-0386.150.wav,Korean
371,yzKc1fXaoF4__U__S146---0892.780-0906.430.wav,Korean
372,W9ztn38CFSk__U__S101---0375.400-0387.680.wav,Korean
373,svr7JnlL4Os__U__S166---1737.210-1750.520.wav,Korean
374,eR9G0u24ggY__U__S25---0197.840-0213.310.wav,Korean
375,_wZvM885iVo__U__S10---2298.820-2311.560.wav,Korean
376,ZdeAT4b8UTQ__U__S56---0493.410-0509.930.wav,Korean
377,CMpQKkh2JK4__U__S1---0223.870-0235.370.wav,Korean
378,W9ztn38CFSk__U__S170---1681.180-1698.070.wav,Korean
379,j-jusufMHvs__U__S3---0431.280-0444.040.wav,Korean
380,cuPUuf8aWgY__U__S55---0352.130-0363.350.wav,Korean
381,9auuvLBHCuo__U__S28---0194.900-0211.700.wav,Korean
382,XIj6ka5wj2Y__U__S29---0181.300-0197.460.wav,Korean
383,Wlsp9djbWh8__U__S0---0048.130-0061.020.wav,Korean
384,QG3-yynJLXY__U__S0---1758.840-1773.040.wav,Korean
385,Ji-k65eXOmo__U__S65---0516.620-0531.970.wav,Korean
386,Hfj6C893PMc__U__S0---0352.250-0362.850.wav,Korean
387,jLnvnCgp1Fc__U__S101---0469.860-0487.050.wav,Korean
388,svr7JnlL4Os__U__S137---0266.430-0284.460.wav,Korean
389,q2gTFDqeAD8__U__S44---0289.270-0300.040.wav,Korean
390,W-UqhGUs9C8__U__S13---0020.040-0033.280.wav,Korean
391,ZZGMEvwtrpY__U__S370---2375.960-2388.350.wav,Korean
